10.0.1.1,10.0.1.2,246,3407,1194459471.784274,1194460865.120671,6.000159,131.371687,29.841592,247,3848,1194459472.055993,1194460865.120618,0.832110,418.106115,37.422839,
10.0.1.1,10.0.1.3,401,15796,1194459102.849735,1194460471.760282,0.001746,196.602322,975.706842,398,88118,1194459102.856035,1194460471.761310,0.001544,11226.908740,982.988875,
10.0.1.1,10.0.1.4,1,484,1194459185.085884,1194459185.085884,0.000000,0.000000,0.000000,253,346682,1194459186.151041,1194459186.370218,0.000564,3478.685810,0.000001,
10.0.1.1,10.0.1.5,2,5,1194459645.172986,1194459645.173081,0.000095,2.250000,0.000000,1,4,1194459645.172889,1194459645.172889,0.000000,0.000000,0.000000,
10.0.1.1,10.0.1.8,216,165716,1194459105.251792,1194460489.196810,0.000042,276065.106653,269.225469,772,728696,1194459105.332675,1194460489.258731,0.000710,337689.740006,34.520148,
10.0.1.1,10.0.1.9,235,3385,1194459471.893772,1194460865.086906,9.877182,130.640833,33.639974,250,4380,1194459471.988179,1194460865.086855,0.946884,524.345600,44.360094,
10.0.1.1,10.0.1.11,180,216068,1194459932.712336,1194460456.135822,0.000080,37730.568395,592.680865,822,1038199,1194459932.725819,1194460456.146959,0.000576,102058.915808,130.675932,
10.0.1.1,10.0.1.12,63,5808,1194460752.664874,1194460800.815886,0.009076,34859.106576,18.227517,63,6021,1194460752.659331,1194460800.818319,0.008241,25009.102041,18.213139,
10.0.1.1,10.0.1.13,21,1413,1194459523.738473,1194460710.765898,10.913015,25627.156463,20020.393575,71,68191,1194459525.745545,1194460717.021644,0.140331,284097.288236,13128.090848,
10.0.1.1,10.0.1.14,217,20273,1194460679.601598,1194460789.481595,0.008721,35369.073711,7.411530,217,15469,1194460679.598382,1194460789.491439,0.005798,9827.061224,7.391049,
10.0.1.1,10.0.1.15,88,92035,1194460241.483327,1194460456.245547,0.000033,193756.103177,240.438275,68,70821,1194460241.661785,1194460456.428525,0.005347,184366.220372,309.612867,
